"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"SCI",50,224.17,223.85,11208.5,11192.5,-16,-0.14,3.25,""
"RELINFRA",17,260.05,383.95,4420.8,6527.15,2106.35,47.65,1.98,""
"AVANCE",3000,0.98,1.28,2940,3840,900,30.61,1.59,""
"KPITTECH",19,1595.53,1273,30315.15,24187,-6128.15,-20.21,1.35,""
"AXISGOLD",65,83.82,84.38,5448.3,5484.7,36.4,0.67,1.04,""
"UNITECH",5040,9.19,7.74,46309.6,39009.6,-7300,-15.76,0.91,""
"TATAPOWER",40,419.51,402.25,16780.35,16090,-690.35,-4.11,0.78,""
"PVRINOX",30,1078.5,1024.7,32355,30741,-1614,-4.99,0.59,""
"BAJAJHFL",60,140.85,122.11,8451,7326.6,-1124.4,-13.3,0.54,""
"NDL",300,6.05,3.77,1815,1131,-684,-37.69,0.27,""
"LICI",10,837.06,921.05,8370.6,9210.5,839.9,10.03,0.21,""
"KAMOPAINTS",250,18.42,9.99,4605,2497.5,-2107.5,-45.77,0.2,""
"TARAPUR",500,30.27,26,15132.5,13000,-2132.5,-14.09,0.04,""
"BPCL",30,285.85,340.3,8575.5,10209,1633.5,19.05,-0.01,""
"GPIL",20,190.05,192.74,3801,3854.8,53.8,1.42,-0.16,""
"UNIONBANK",30,114.44,142.69,3433.1,4280.7,847.6,24.69,-0.17,""
"NTPCGREEN",80,114.58,108.08,9166.25,8646.4,-519.85,-5.67,-0.32,""
"YESBANK",1090,19.83,19.9,21611.6,21691,79.4,0.37,-0.55,""
"ONGC",30,251.43,244.82,7543,7344.6,-198.4,-2.63,-0.65,""
"EKC",20,169.5,135.18,3390,2703.6,-686.4,-20.25,-0.73,""
"SYRMA",1,603.15,702,603.15,702,98.85,16.39,-1.13,""
"GVKPIL",2000,5.05,3.97,10100,7940,-2160,-21.39,-1.24,""
"CDSL",25,1472.57,1688.8,36814.25,42220,5405.75,14.68,-1.51,""
"VIPULLTD",90,15.92,9.69,1432.8,872.1,-560.7,-39.13,-1.72,""
"HERCULES",80,241.87,189,19349.44,15120,-4229.44,-21.86,-1.97,""
"KFINTECH",31,1106.23,1255.35,34293.25,38915.85,4622.6,13.48,-2.12,""
